Image,Description
fig1.png,"Unilateral pulmonary infection, one infected area, all left lung."
fig2.png,"Unilateral pulmonary infection, two infected areas, upper middle lower left lung."
fig3.png,"Unilateral pulmonary infection, three infected areas, upper middle lower left lung."
fig4.png,"Unilateral pulmonary infection, one infected area, all right lung."
fig5.png,"Unilateral pulmonary infection, two infected areas, upper middle lower right lung."
fig6.png,"Unilateral pulmonary infection, three infected areas, upper middle lower right lung."
fig7.png,"Bilateral pulmonary infection, two infected areas, all left lung and all right lung."
fig8.png,"Bilateral pulmonary infection, two infected areas, all left lung and upper middle right lung."
fig9.png,"Bilateral pulmonary infection, two infected areas, all left lung and middle lower right lung."
fig10.png,"Bilateral pulmonary infection, two infected areas, upper middle left lung and all right lung."
fig11.png,"Bilateral pulmonary infection, two infected areas, middle lower left lung and all right lung."
fig12.png,"Bilateral pulmonary infection, three infected areas, all left lung and upper middle lower right lung."
fig13.png,"Bilateral pulmonary infection, three infected areas, upper middle lower left lung and all right lung."
fig14.png,"Bilateral pulmonary infection, four infected areas, upper middle lower left lung and upper middle lower right lung."
