num,key,title,requested_urls,final_url,content_type,status,local_file,pdf_companion
1,li2023lvit,LViT: Language Meets Vision Transformer in Medical Image Segmentation,https://arxiv.org/pdf/2206.14718.pdf,https://arxiv.org/pdf/2206.14718,application/pdf,ok,01_core_lvit_2024_li_lvit_medical_image_segmentation.pdf,
2,lvitOfficialRepo,LViT Official Repository,https://github.com/HUANGLIZI/LViT,https://github.com/HUANGLIZI/LViT,text/html; charset=utf-8,ok,02_resource_repo_2023_li_lvit_official_repository.html,02_resource_repo_2023_li_lvit_official_repository.pdf
3,degerli2022qatacov19,QaTa-COV19 Dataset,https://www.kaggle.com/datasets/aysendegerli/qatacov19-dataset,https://www.kaggle.com/datasets/aysendegerli/qatacov19-dataset,text/html; charset=utf-8,ok,03_dataset_xray_2022_degerli_qatacov19_dataset.html,03_dataset_xray_2022_degerli_qatacov19_dataset.pdf
4,morozov2020mosmeddata,MosMedData: Chest CT Scans With COVID-19 Related Findings Dataset,https://arxiv.org/pdf/2005.06465.pdf,https://arxiv.org/pdf/2005.06465,application/pdf,ok,04_dataset_ct_2020_morozov_mosmeddata_ct_covid_findings.pdf,
5,medicalsegmentationCovid19,COVID-19 CT Segmentation Dataset,https://medicalsegmentation.com/covid19/,https://medicalsegmentation.com/covid19/,text/html (reconstructed from accessible browser content),ok,05_dataset_ct_2020_medicalsegmentation_covid19_ct_segmentation_dataset.html,05_dataset_ct_2020_medicalsegmentation_covid19_ct_segmentation_dataset.pdf
6,ronneberger2015unet,U-Net: Convolutional Networks for Biomedical Image Segmentation,https://arxiv.org/pdf/1505.04597.pdf,https://arxiv.org/pdf/1505.04597,application/pdf,ok,06_deeplearning_cnn_2015_ronneberger_unet_biomedical_segmentation.pdf,
7,isensee2021nnunet,nnU-Net: A Self-Configuring Method for Deep Learning-Based Biomedical Image Segmentation,https://www.nature.com/articles/s41592-020-01008-z.pdf | https://www.nature.com/articles/s41592-020-01008-z,https://www.nature.com/articles/s41592-020-01008-z,"text/html; charset=""UTF-8""",ok,07_deeplearning_cnn_2021_isensee_nnunet_self_configuring_segmentation.html,07_deeplearning_cnn_2021_isensee_nnunet_self_configuring_segmentation.pdf
8,chen2021transunet,TransUNet: Transformers Make Strong Encoders for Medical Image Segmentation,https://arxiv.org/pdf/2102.04306.pdf,https://arxiv.org/pdf/2102.04306,application/pdf,ok,08_deeplearning_hybrid_2021_chen_transunet_medical_segmentation.pdf,
9,cao2021swinunet,Swin-Unet: Unet-Like Pure Transformer for Medical Image Segmentation,https://arxiv.org/pdf/2105.05537.pdf,https://arxiv.org/pdf/2105.05537,application/pdf,ok,09_deeplearning_transformer_2021_cao_swin_unet_medical_segmentation.pdf,
10,zhang2020convirt,Contrastive Learning of Medical Visual Representations From Paired Images and Text,https://arxiv.org/pdf/2010.00747.pdf,https://arxiv.org/pdf/2010.00747,application/pdf,ok,10_vision_language_2020_zhang_convirt_medical_visual_text_representations.pdf,
11,huang2021gloria,GLoRIA: A Multimodal Global-Local Representation Learning Framework for Label-Efficient Medical Image Recognition,https://openaccess.thecvf.com/content/ICCV2021/papers/Huang_GLoRIA_A_Multimodal_Global-Local_Representation_Learning_Framework_for_Label-Efficient_Medical_ICCV_2021_paper.pdf,https://openaccess.thecvf.com/content/ICCV2021/papers/Huang_GLoRIA_A_Multimodal_Global-Local_Representation_Learning_Framework_for_Label-Efficient_Medical_ICCV_2021_paper.pdf,application/pdf,ok,11_vision_language_2021_huang_gloria_medical_image_recognition.pdf,
12,tarvainen2017meanteacher,Mean Teachers Are Better Role Models: Weight-Averaged Consistency Targets Improve Semi-Supervised Deep Learning Results,https://papers.nips.cc/paper_files/paper/2017/file/68053af2923e00204c3ca7c6a3150cf7-Paper.pdf,https://papers.nips.cc/paper_files/paper/2017/file/68053af2923e00204c3ca7c6a3150cf7-Paper.pdf,application/pdf,ok,12_semi_supervised_2017_tarvainen_mean_teacher.pdf,
13,luo2021dtc,Semi-Supervised Medical Image Segmentation Through Dual-Task Consistency,https://arxiv.org/pdf/2009.04448.pdf,https://arxiv.org/pdf/2009.04448,application/pdf,ok,13_semi_supervised_2021_luo_dual_task_consistency.pdf,
14,long2015fcn,Fully Convolutional Networks for Semantic Segmentation,https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Long_Fully_Convolutional_Networks_2015_CVPR_paper.pdf,https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Long_Fully_Convolutional_Networks_2015_CVPR_paper.pdf,application/pdf,ok,14_deeplearning_cnn_2015_long_fcn_semantic_segmentation.pdf,
15,chen2018deeplab,"DeepLab: Semantic Image Segmentation With Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",https://arxiv.org/pdf/1606.00915.pdf,https://arxiv.org/pdf/1606.00915,application/pdf,ok,15_deeplearning_cnn_2018_chen_deeplab_semantic_segmentation.pdf,
16,zhou2018unetpp,UNet++: A Nested U-Net Architecture for Medical Image Segmentation,https://arxiv.org/pdf/1807.10165.pdf,https://arxiv.org/pdf/1807.10165,application/pdf,ok,16_deeplearning_cnn_2018_zhou_unetpp_medical_segmentation.pdf,
17,oktay2018attention,Attention U-Net: Learning Where to Look for the Pancreas,https://arxiv.org/pdf/1804.03999.pdf,https://arxiv.org/pdf/1804.03999,application/pdf,ok,17_deeplearning_attention_2018_oktay_attention_unet_pancreas.pdf,
18,vaswani2017attention,Attention Is All You Need,https://arxiv.org/pdf/1706.03762.pdf,https://arxiv.org/pdf/1706.03762,application/pdf,ok,18_transformer_foundation_2017_vaswani_attention_is_all_you_need.pdf,
19,dosovitskiy2020vit,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://arxiv.org/pdf/2010.11929.pdf,https://arxiv.org/pdf/2010.11929,application/pdf,ok,19_transformer_foundation_2020_dosovitskiy_vit_image_recognition.pdf,
20,zheng2021setr,Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers,https://openaccess.thecvf.com/content/CVPR2021/papers/Zheng_Rethinking_Semantic_Segmentation_From_a_Sequence-to-Sequence_Perspective_With_Transformers_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/papers/Zheng_Rethinking_Semantic_Segmentation_From_a_Sequence-to-Sequence_Perspective_With_Transformers_CVPR_2021_paper.pdf,application/pdf,ok,20_deeplearning_transformer_2021_zheng_setr_transformer_segmentation.pdf,
21,wang2021uctransnet,UCTransNet: Rethinking the Skip Connections in U-Net From a Channel-Wise Perspective With Transformer,https://arxiv.org/pdf/2109.04335.pdf,https://arxiv.org/pdf/2109.04335,application/pdf,ok,21_deeplearning_hybrid_2021_wang_uctransnet_skip_connections_transformer.pdf,
22,radford2021clip,Learning Transferable Visual Models From Natural Language Supervision,https://proceedings.mlr.press/v139/radford21a/radford21a.pdf,https://proceedings.mlr.press/v139/radford21a/radford21a.pdf,application/pdf,ok,22_vision_language_2021_radford_clip_natural_language_supervision.pdf,
23,kim2021vilt,ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision,https://proceedings.mlr.press/v139/kim21k/kim21k.pdf,https://proceedings.mlr.press/v139/kim21k/kim21k.pdf,application/pdf,ok,23_vision_language_2021_kim_vilt_vision_language_transformer.pdf,
24,ding2021vlt,VLT: Vision-Language Transformer and Query Generation for Referring Segmentation,https://openaccess.thecvf.com/content/ICCV2021/papers/Ding_Vision-Language_Transformer_and_Query_Generation_for_Referring_Segmentation_ICCV_2021_paper.pdf,https://openaccess.thecvf.com/content/ICCV2021/papers/Ding_Vision-Language_Transformer_and_Query_Generation_for_Referring_Segmentation_ICCV_2021_paper.pdf,application/pdf,ok,24_vision_language_2021_ding_vlt_referring_segmentation.pdf,
25,yang2022lavt,LAVT: Language-Aware Vision Transformer for Referring Image Segmentation,https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_LAVT_Language-Aware_Vision_Transformer_for_Referring_Image_Segmentation_CVPR_2022_paper.pdf,https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_LAVT_Language-Aware_Vision_Transformer_for_Referring_Image_Segmentation_CVPR_2022_paper.pdf,application/pdf,ok,25_vision_language_2022_yang_lavt_referring_segmentation.pdf,
26,hofmanninger2020automatic,"Automatic Lung Segmentation in Routine Imaging Is Primarily a Data Diversity Problem, Not a Methodology Problem",https://arxiv.org/pdf/2001.11767.pdf,https://arxiv.org/pdf/2001.11767,application/pdf,ok,26_traditional_preprocessing_2020_hofmanninger_automatic_lung_segmentation_data_diversity.pdf,
